emp_length,homeownership,annual_income,verified_income,debt_to_income,credit_checks,total_credit_limit,total_credit_utilized,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,issue_month
NA,MORTGAGE,40280,Verified,7.27,1,188450,6103,0,home_improvement,3500,36,6.71,A,Mar-18
10,RENT,82000,Not Verified,17.31,1,65425,69177,0,credit_card,8000,36,7.96,A,Mar-18
7,MORTGAGE,55000,Source Verified,14.42,0,197985,17296,0,debt_consolidation,18000,60,12.61,C,Feb-18
1,RENT,55000,Source Verified,13.68,7,41891,26637,0,credit_card,10000,36,11.98,B,Mar-18
5,RENT,33000,Not Verified,19.38,0,43876,22920,0,debt_consolidation,3200,36,7.34,A,Feb-18
3,RENT,60000,Not Verified,11,0,56000,14338,0,debt_consolidation,10000,36,5.32,A,Jan-18
4,MORTGAGE,48000,Source Verified,2.88,2,147217,2489,0,house,6000,36,6.07,A,Mar-18
4,MORTGAGE,106000,Verified,26.25,2,405236,105548,0,debt_consolidation,12000,36,12.62,C,Feb-18
3,MORTGAGE,245000,Source Verified,24.9,1,772243,497876,0,debt_consolidation,40000,60,9.44,B,Feb-18
9,MORTGAGE,50000,Verified,36.75,0,246210,51523,0,credit_card,19000,60,19.03,D,Feb-18
3,MORTGAGE,80000,Source Verified,28.3,0,250359,113927,0,debt_consolidation,28000,60,20.39,D,Mar-18
10,MORTGAGE,140000,Not Verified,13.82,2,631258,69647,0,debt_consolidation,15000,60,9.93,B,Jan-18
1,OWN,70000,Source Verified,0,0,30400,92,0,small_business,2400,36,6.08,A,Jan-18
2,RENT,45000,Source Verified,10.59,1,14500,13304,0,debt_consolidation,10000,36,21.45,D,Jan-18
10,MORTGAGE,70000,Verified,17.06,2,363649,29954,0,car,24000,60,15.04,C,Mar-18
2,RENT,75000,Not Verified,18.53,2,55075,34186,0,other,9500,36,10.42,B,Jan-18
2,RENT,53592,Source Verified,7.1,0,42499,10466,0,other,30000,36,12.61,C,Feb-18
NA,MORTGAGE,19000,Not Verified,24.79,0,23234,12435,1,other,10000,60,18.06,D,Jan-18
5,RENT,90000,Source Verified,15.72,8,77285,51012,0,moving,15000,60,11.99,B,Feb-18
10,RENT,77000,Source Verified,14.82,0,74852,44015,0,debt_consolidation,35000,60,15.05,C,Jan-18
2,RENT,42000,Source Verified,25.89,1,43239,31094,0,credit_card,10000,36,15.05,C,Feb-18
4,MORTGAGE,130000,Source Verified,13.51,2,403408,49857,0,home_improvement,40000,60,12.62,C,Feb-18
10,OWN,76300,Not Verified,10.71,4,185068,26515,1,debt_consolidation,15000,36,6.72,A,Jan-18
2,MORTGAGE,190000,Not Verified,2.68,0,175300,18870,0,debt_consolidation,20000,36,6.71,A,Mar-18
0,RENT,41000,Verified,25.7,0,29311,13527,0,debt_consolidation,4500,36,15.05,C,Feb-18
2,RENT,30000,Not Verified,3.64,0,18000,5542,0,car,16000,60,9.93,B,Jan-18
6,MORTGAGE,88000,Source Verified,17.24,2,404236,199983,0,credit_card,10000,36,10.42,B,Jan-18
2,MORTGAGE,115000,Verified,18.72,6,394519,69124,0,debt_consolidation,20000,60,22.91,E,Feb-18
10,RENT,95731,Not Verified,19.64,1,86768,53109,0,debt_consolidation,20600,60,30.79,G,Jan-18
2,RENT,127000,Source Verified,9.12,0,74518,34313,0,major_purchase,35000,60,15.05,C,Feb-18
10,MORTGAGE,75000,Source Verified,22.91,0,224758,63799,0,debt_consolidation,10000,36,6.07,A,Mar-18
5,MORTGAGE,70000,Not Verified,21.41,1,279995,52244,0,debt_consolidation,12000,36,6.07,A,Mar-18
NA,OWN,22000,Source Verified,13.05,0,130600,4277,0,debt_consolidation,1925,36,17.47,D,Mar-18
8,MORTGAGE,75000,Verified,20.16,4,365595,30262,0,house,15000,36,7.34,A,Mar-18
10,MORTGAGE,73000,Verified,39.08,8,146435,51162,1,debt_consolidation,20000,36,13.59,C,Feb-18
NA,MORTGAGE,76000,Not Verified,14.62,2,368543,24135,0,debt_consolidation,6000,36,6.72,A,Jan-18
10,RENT,188000,Not Verified,11.64,1,80444,45181,0,debt_consolidation,10000,36,5.31,A,Feb-18
8,MORTGAGE,50000,Verified,12.15,8,97664,21687,1,debt_consolidation,25000,36,9.93,B,Jan-18
10,OWN,58000,Source Verified,12.58,0,37300,14770,0,debt_consolidation,10000,36,9.92,B,Mar-18
1,RENT,105000,Not Verified,16.73,0,63600,53168,0,debt_consolidation,6000,36,9.93,B,Feb-18
10,MORTGAGE,114000,Verified,28.13,1,451597,88594,0,credit_card,20000,60,14.07,C,Mar-18
10,MORTGAGE,150000,Source Verified,7.89,1,96633,43253,0,medical,15000,36,7.97,A,Feb-18
0,MORTGAGE,69000,Not Verified,15.42,0,291176,33890,0,debt_consolidation,20000,36,5.31,A,Mar-18
10,MORTGAGE,30000,Not Verified,32.4,1,69244,23425,0,debt_consolidation,10500,60,9.93,B,Feb-18
5,MORTGAGE,60000,Source Verified,17.28,2,47882,36724,1,credit_card,11400,60,14.08,C,Jan-18
5,MORTGAGE,74000,Not Verified,32.06,0,384554,63783,0,car,5500,36,12.61,C,Mar-18
0,RENT,25000,Source Verified,3.7,1,1900,807,0,debt_consolidation,5000,36,12.62,C,Jan-18
NA,OWN,32000,Source Verified,22.09,6,30649,24714,0,other,9600,36,17.47,D,Mar-18
0,RENT,31000,Source Verified,16.26,2,43430,14955,0,other,15000,36,12.62,C,Jan-18
3,RENT,64000,Source Verified,8.72,0,49500,19719,0,debt_consolidation,10000,36,6.71,A,Mar-18
3,RENT,24000,Source Verified,16.3,1,54966,42068,0,major_purchase,10450,60,19.42,D,Mar-18
2,MORTGAGE,77000,Source Verified,16.04,3,188426,59514,0,credit_card,7200,36,12.62,C,Feb-18
10,MORTGAGE,31000,Not Verified,28.42,0,190216,24861,0,debt_consolidation,35000,60,14.08,C,Jan-18
NA,RENT,13930,Verified,21.94,1,13450,4212,0,debt_consolidation,4200,36,10.91,B,Jan-18
0,RENT,60000,Verified,19.22,3,69357,68594,0,other,2400,36,17.47,D,Feb-18
9,MORTGAGE,41787,Verified,37.74,1,42639,36441,0,credit_card,12800,36,18.06,D,Jan-18
4,MORTGAGE,45000,Verified,15.44,2,215675,13559,1,other,8000,36,16.02,C,Jan-18
0,MORTGAGE,77000,Verified,18.39,3,174300,31663,0,debt_consolidation,30000,36,19.03,D,Feb-18
1,MORTGAGE,72000,Source Verified,27.23,7,158659,65964,1,debt_consolidation,7000,36,12.62,C,Jan-18
8,MORTGAGE,165000,Source Verified,11.14,2,103527,70510,0,other,25000,36,6.07,A,Feb-18
10,MORTGAGE,43000,Source Verified,1.56,3,45100,860,0,home_improvement,40000,60,9.43,B,Mar-18
10,MORTGAGE,90000,Verified,17.44,1,524622,87687,0,debt_consolidation,24000,60,10.42,B,Jan-18
10,OWN,95000,Not Verified,11.45,2,73740,14461,1,debt_consolidation,5000,36,7.96,A,Mar-18
10,MORTGAGE,152000,Not Verified,21.09,5,476029,121076,0,small_business,40000,60,13.59,C,Jan-18
2,MORTGAGE,49500,Source Verified,34.86,1,241110,159851,0,credit_card,15000,60,15.04,C,Mar-18
5,OWN,32000,Source Verified,13.77,1,37596,18294,0,home_improvement,5000,36,12.61,C,Mar-18
8,RENT,78000,Source Verified,9.61,3,48354,40982,1,credit_card,7000,36,7.96,A,Mar-18
2,RENT,52000,Source Verified,24.39,4,86360,47451,0,debt_consolidation,17450,60,13.58,C,Mar-18
10,MORTGAGE,147000,Source Verified,5.16,6,386381,23551,0,debt_consolidation,30000,60,16.01,C,Mar-18
10,OWN,140000,Verified,28.53,1,454500,177350,0,debt_consolidation,15000,36,22.91,E,Feb-18
5,RENT,50000,Not Verified,20.74,8,128476,16061,0,debt_consolidation,20000,36,7.97,A,Jan-18
NA,RENT,55000,Not Verified,12.22,3,26500,10994,1,debt_consolidation,15000,60,18.06,D,Jan-18
3,MORTGAGE,190000,Not Verified,15.84,0,619105,84019,0,debt_consolidation,12000,36,6.08,A,Jan-18
10,RENT,126000,Source Verified,3.82,0,49529,7020,0,debt_consolidation,16500,36,5.32,A,Feb-18
10,MORTGAGE,95000,Not Verified,15.48,2,277964,47779,1,debt_consolidation,19200,36,5.32,A,Feb-18
10,MORTGAGE,80000,Source Verified,14.16,2,285387,22788,0,major_purchase,7050,36,9.93,B,Jan-18
10,MORTGAGE,23000,Verified,49.58,2,44927,29553,1,credit_card,15000,60,20,D,Feb-18
10,OWN,66000,Not Verified,13.27,0,65475,60327,0,debt_consolidation,11200,36,15.05,C,Feb-18
5,RENT,60000,Source Verified,16.72,13,242220,30552,0,debt_consolidation,8000,36,7.96,A,Mar-18
0,MORTGAGE,101000,Source Verified,18.5,2,343573,39168,0,debt_consolidation,20000,60,26.77,E,Mar-18
4,MORTGAGE,113000,Not Verified,15.28,6,795794,78028,1,home_improvement,10800,60,9.44,B,Jan-18
10,MORTGAGE,61000,Not Verified,19.05,9,141543,42210,0,debt_consolidation,7200,36,13.59,C,Feb-18
1,RENT,28000,Source Verified,26.96,0,28300,13329,0,debt_consolidation,12000,36,15.04,C,Mar-18
2,MORTGAGE,75000,Not Verified,21.63,2,213035,79897,0,credit_card,20000,36,5.31,A,Mar-18
2,MORTGAGE,44000,Verified,24.77,8,56476,40706,0,home_improvement,7200,36,14.08,C,Feb-18
2,RENT,60000,Source Verified,18.36,2,36564,20307,0,small_business,6000,36,13.59,C,Jan-18
10,RENT,47000,Not Verified,18.92,0,24823,11443,0,debt_consolidation,5000,36,7.97,A,Feb-18
2,RENT,58000,Source Verified,14.66,2,101890,43411,0,debt_consolidation,16000,60,9.93,B,Jan-18
10,MORTGAGE,55000,Source Verified,29.58,0,245213,27408,0,debt_consolidation,15600,36,6.08,A,Jan-18
NA,RENT,31812,Not Verified,37.83,0,58700,38487,0,debt_consolidation,10000,60,21.85,D,Feb-18
5,RENT,95000,Source Verified,13.49,2,66559,47029,0,moving,10000,36,10.42,B,Feb-18
0,MORTGAGE,65000,Source Verified,29.36,0,86480,66933,0,debt_consolidation,30000,36,17.47,D,Mar-18
4,RENT,250000,Source Verified,1.12,0,27800,5459,0,debt_consolidation,30000,36,10.9,B,Mar-18
10,MORTGAGE,55200,Not Verified,18.67,0,206967,57403,0,credit_card,16000,36,6.08,A,Jan-18
10,RENT,42000,Not Verified,25.23,1,55732,29882,0,credit_card,20000,36,12.61,C,Mar-18
NA,MORTGAGE,30784,Verified,27.56,2,130301,9913,0,debt_consolidation,6275,36,23.87,E,Feb-18
4,OWN,60000,Verified,26.88,2,350266,76834,0,credit_card,15000,36,18.06,D,Feb-18
10,MORTGAGE,120000,Source Verified,21.45,0,179741,165182,0,debt_consolidation,16000,60,13.59,C,Jan-18
4,MORTGAGE,63000,Source Verified,15.3,3,33048,20366,1,debt_consolidation,10000,36,16.02,C,Feb-18
10,MORTGAGE,155000,Verified,16.13,2,294645,96202,0,major_purchase,25000,36,9.93,B,Feb-18
1,RENT,40000,Source Verified,2.91,2,15800,2523,0,car,12000,36,9.92,B,Mar-18
3,RENT,42500,Not Verified,18.55,1,41886,27474,0,credit_card,6000,36,7.35,A,Jan-18
10,OWN,230000,Source Verified,9.19,2,441037,53298,0,debt_consolidation,12000,36,10.91,B,Feb-18
4,MORTGAGE,75000,Source Verified,8.46,1,293947,164954,0,house,10000,60,13.59,C,Feb-18
0,MORTGAGE,24000,Source Verified,9.8,0,15100,5929,1,debt_consolidation,20000,36,14.07,C,Mar-18
1,RENT,110000,Not Verified,11.62,6,50939,19887,0,credit_card,8500,36,7.34,A,Mar-18
10,OWN,172000,Verified,24.31,1,764559,110739,0,home_improvement,36000,60,15.05,C,Feb-18
10,RENT,145000,Verified,14.66,0,206996,61746,0,debt_consolidation,40000,36,6.72,A,Feb-18
4,MORTGAGE,85000,Source Verified,22.73,1,428429,69424,0,debt_consolidation,9000,36,16.01,C,Mar-18
10,RENT,42000,Not Verified,9.91,0,50600,11048,0,debt_consolidation,7200,36,7.34,A,Mar-18
3,RENT,36000,Not Verified,29.47,4,46680,44111,1,debt_consolidation,6100,36,23.88,E,Feb-18
NA,OWN,17000,Not Verified,27.68,1,96126,62706,0,other,2250,36,15.05,C,Jan-18
10,OWN,37000,Not Verified,4.25,0,19900,4154,0,debt_consolidation,10000,36,6.72,A,Feb-18
1,OWN,45000,Source Verified,16.97,3,56393,20877,0,debt_consolidation,25000,36,21.45,D,Feb-18
10,MORTGAGE,40000,Verified,19.44,1,38688,17445,1,debt_consolidation,16000,60,25.82,E,Feb-18
2,RENT,182000,Not Verified,6.06,2,56000,34611,0,credit_card,32000,60,14.08,C,Jan-18
3,RENT,51000,Verified,17.25,1,52441,38608,1,credit_card,12000,36,15.05,C,Feb-18
10,RENT,45000,Not Verified,23.33,0,85062,27762,0,debt_consolidation,10000,36,9.44,B,Jan-18
2,MORTGAGE,31200,Verified,33.19,2,40580,30433,0,debt_consolidation,2200,36,17.09,D,Feb-18
1,RENT,27278,Not Verified,19.93,1,33085,21669,0,credit_card,4800,36,16.01,C,Mar-18
10,MORTGAGE,75000,Source Verified,15.31,2,88855,28400,1,home_improvement,35000,60,10.9,B,Mar-18
5,RENT,100000,Not Verified,22.88,2,96081,49906,0,credit_card,35000,36,12.62,C,Jan-18
NA,OWN,42000,Verified,14.4,2,18785,15755,0,other,10000,60,21.45,D,Feb-18
10,MORTGAGE,66000,Source Verified,6.11,3,246436,13900,0,major_purchase,2400,36,10.41,B,Mar-18
2,RENT,89000,Not Verified,18.65,0,114770,52475,0,credit_card,19600,36,5.32,A,Jan-18
3,MORTGAGE,50000,Verified,27.08,2,288973,46068,1,debt_consolidation,26000,60,21.85,D,Mar-18
6,MORTGAGE,99000,Not Verified,11.73,3,53203,27819,1,home_improvement,12000,60,18.06,D,Jan-18
0,RENT,150000,Source Verified,7.82,2,381481,93341,0,medical,13000,36,5.32,A,Feb-18
3,RENT,57000,Source Verified,18.88,3,97124,68759,0,house,11750,60,17.09,D,Feb-18
10,MORTGAGE,99000,Source Verified,20.78,1,415771,57617,0,debt_consolidation,30000,60,9.93,B,Mar-18
6,RENT,44000,Source Verified,19.42,1,63963,39654,0,credit_card,7000,36,6.08,A,Feb-18
NA,RENT,0,Not Verified,NA,10,43354,34997,0,debt_consolidation,20000,60,17.09,D,Feb-18
4,RENT,97000,Not Verified,0.33,2,25854,11195,0,other,35000,36,16.01,C,Mar-18
10,MORTGAGE,30000,Not Verified,8.56,0,22300,10709,1,credit_card,10000,60,13.59,C,Feb-18
NA,OWN,50000,Source Verified,14.16,2,55089,29320,0,other,20000,36,9.92,B,Mar-18
5,MORTGAGE,115000,Source Verified,12.89,2,527790,88149,0,small_business,40000,60,15.04,C,Mar-18
2,MORTGAGE,80000,Not Verified,9.92,3,322553,20241,0,credit_card,12000,36,6.71,A,Mar-18
0,RENT,15000,Source Verified,7.2,0,13800,13570,0,debt_consolidation,16000,36,17.47,D,Mar-18
7,MORTGAGE,60000,Source Verified,27.06,2,94036,44347,1,debt_consolidation,10000,36,11.99,B,Jan-18
0,RENT,50000,Source Verified,13.3,1,31300,15584,0,credit_card,10000,36,13.59,C,Feb-18
9,MORTGAGE,91000,Not Verified,24.99,9,307277,105205,0,debt_consolidation,15000,36,7.35,A,Jan-18
10,MORTGAGE,75000,Source Verified,0.54,4,253569,42,0,major_purchase,24000,60,10.42,B,Jan-18
10,MORTGAGE,182000,Source Verified,16.72,0,604303,78003,0,debt_consolidation,40000,36,7.97,A,Feb-18
NA,MORTGAGE,65000,Not Verified,10.62,1,168410,25122,0,debt_consolidation,25000,60,9.92,B,Mar-18
4,MORTGAGE,121500,Verified,39.34,0,249000,145985,0,debt_consolidation,32175,36,12.61,C,Mar-18
4,MORTGAGE,170000,Not Verified,14.23,1,296303,95665,0,debt_consolidation,25000,60,9.93,B,Jan-18
2,RENT,70000,Not Verified,21.79,1,216901,32432,0,debt_consolidation,24000,60,14.07,C,Mar-18
5,OWN,60000,Source Verified,5.96,0,13217,9799,0,credit_card,15000,60,14.08,C,Feb-18
1,MORTGAGE,100000,Source Verified,22.49,2,220075,98692,0,other,36000,60,12.62,C,Jan-18
10,RENT,68000,Source Verified,17.28,3,205036,37791,0,debt_consolidation,20000,60,16.02,C,Jan-18
10,MORTGAGE,65000,Not Verified,29.38,7,287820,72529,0,debt_consolidation,30000,60,14.07,C,Feb-18
0,MORTGAGE,42500,Source Verified,24.57,2,123232,57581,0,debt_consolidation,11000,36,18.06,D,Feb-18
2,RENT,52000,Not Verified,21.3,1,73249,34442,0,credit_card,15000,60,14.08,C,Jan-18
2,RENT,68250,Source Verified,8.63,0,98559,90416,0,credit_card,13500,60,16.02,C,Feb-18
3,MORTGAGE,55000,Source Verified,8.66,0,122838,16537,0,debt_consolidation,10000,60,11.99,B,Jan-18
10,OWN,85000,Not Verified,26.49,0,117100,53291,0,credit_card,25000,36,6.72,A,Feb-18
10,MORTGAGE,318000,Source Verified,8.37,9,125809,90942,1,debt_consolidation,25000,60,19.03,D,Jan-18
7,OWN,95000,Source Verified,11.33,0,77389,46601,0,debt_consolidation,28000,36,6.71,A,Mar-18
2,RENT,71000,Not Verified,15.48,0,71270,39261,0,credit_card,10000,36,6.07,A,Mar-18
3,MORTGAGE,41200,Source Verified,16.95,0,191066,47940,0,other,10000,36,7.35,A,Jan-18
NA,RENT,44088,Not Verified,27.93,1,71174,37694,1,debt_consolidation,10000,36,13.59,C,Feb-18
0,RENT,15000,Source Verified,5.87,1,28874,2114,0,debt_consolidation,2500,36,13.59,C,Jan-18
0,OWN,95000,Not Verified,12.42,0,390874,37792,0,other,6500,36,5.31,A,Mar-18
9,RENT,88000,Source Verified,13.04,2,39353,24021,0,debt_consolidation,10000,36,7.97,A,Jan-18
10,MORTGAGE,65000,Source Verified,40.15,3,459836,117216,1,debt_consolidation,14500,36,7.35,A,Jan-18
6,RENT,80000,Verified,11.88,2,27100,14056,1,house,40000,36,11.99,B,Jan-18
5,RENT,45000,Not Verified,25.41,3,72097,33160,0,other,16000,36,16.02,C,Feb-18
10,RENT,150000,Source Verified,9.33,0,55420,38733,1,debt_consolidation,14000,36,9.93,B,Jan-18
1,RENT,69000,Not Verified,27.74,5,95775,48638,0,debt_consolidation,10000,36,19.42,D,Feb-18
10,MORTGAGE,35000,Not Verified,23.01,0,185161,86272,0,debt_consolidation,2400,36,7.96,A,Mar-18
3,MORTGAGE,39000,Source Verified,10.83,0,406749,12329,0,debt_consolidation,17000,36,13.59,C,Jan-18
8,OWN,90000,Verified,39.63,7,168002,136103,1,credit_card,24000,36,12.61,C,Mar-18
NA,MORTGAGE,82000,Verified,18.09,5,366648,38119,0,other,20000,36,19.03,D,Feb-18
10,RENT,82000,Source Verified,7.08,6,32200,10401,0,credit_card,30000,36,16.01,C,Mar-18
0,OWN,27000,Not Verified,2.54,0,15600,1364,0,other,3600,36,6.72,A,Jan-18
3,MORTGAGE,92000,Not Verified,25.33,1,260226,51302,1,home_improvement,20000,36,6.07,A,Mar-18
6,MORTGAGE,45000,Source Verified,23.92,0,360202,82200,0,debt_consolidation,8000,36,15.05,C,Jan-18
1,RENT,40000,Source Verified,29.72,0,57628,34805,0,credit_card,16000,36,6.07,A,Mar-18
1,MORTGAGE,170000,Verified,22.66,2,349067,101835,0,debt_consolidation,24000,36,13.58,C,Mar-18
5,RENT,30000,Source Verified,5.68,1,11000,3775,0,credit_card,2000,36,10.42,B,Feb-18
3,RENT,52500,Source Verified,9.73,0,79622,71415,0,other,2000,36,11.98,B,Mar-18
8,RENT,25000,Source Verified,2.78,0,41300,2461,0,vacation,6500,36,9.43,B,Mar-18
6,RENT,70000,Not Verified,39.07,3,109647,75898,0,debt_consolidation,8000,36,16.02,C,Feb-18
NA,RENT,16000,Verified,25.43,0,19345,8243,0,debt_consolidation,7000,36,18.06,D,Feb-18
2,RENT,125000,Source Verified,2.47,1,88500,11361,0,credit_card,25000,60,12.61,C,Mar-18
10,MORTGAGE,60000,Source Verified,22.92,1,374897,48921,0,debt_consolidation,15000,60,14.07,C,Mar-18
2,RENT,100000,Source Verified,27.71,4,130869,51510,0,debt_consolidation,35000,36,10.42,B,Jan-18
3,RENT,205000,Source Verified,14.04,2,96538,65694,1,debt_consolidation,26000,36,10.42,B,Jan-18
10,MORTGAGE,45000,Source Verified,11.79,1,105050,16491,1,debt_consolidation,12000,60,17.47,D,Mar-18
2,RENT,26448,Not Verified,30.54,1,36280,27636,0,credit_card,10000,60,10.91,B,Jan-18
10,MORTGAGE,90000,Not Verified,18.63,0,321900,30997,0,home_improvement,15000,36,5.32,A,Jan-18
5,MORTGAGE,80000,Not Verified,18.39,3,531782,81876,0,credit_card,14000,60,9.44,B,Jan-18
10,MORTGAGE,60000,Source Verified,27.84,1,239781,37064,0,debt_consolidation,15000,36,9.44,B,Mar-18
5,RENT,60000,Not Verified,9.24,0,27540,8770,0,debt_consolidation,10000,36,14.08,C,Feb-18
3,RENT,25000,Not Verified,14.31,1,33000,6979,1,debt_consolidation,5000,36,7.35,A,Jan-18
10,RENT,74000,Not Verified,14.39,1,90000,29504,0,small_business,28125,60,12.62,C,Jan-18
10,RENT,119568,Verified,22.04,1,101559,70239,0,debt_consolidation,10000,36,15.04,C,Mar-18
NA,MORTGAGE,20000,Source Verified,0,3,64000,0,0,other,10000,60,9.92,B,Mar-18
2,MORTGAGE,151000,Verified,15.81,3,160259,77372,0,home_improvement,40000,60,10.9,B,Mar-18
6,RENT,70000,Not Verified,27.6,4,92378,45569,0,credit_card,10000,36,6.72,A,Mar-18
4,OWN,35000,Verified,29.12,0,72470,37589,0,debt_consolidation,8000,36,5.32,A,Feb-18
2,RENT,84000,Verified,7.57,1,38401,35702,0,house,35000,60,11.99,B,Jan-18
2,MORTGAGE,200000,Source Verified,10.67,1,513156,35893,0,debt_consolidation,20000,36,5.32,A,Feb-18
5,OWN,25000,Verified,31.61,0,43376,14488,0,debt_consolidation,9000,36,10.41,B,Mar-18
0,RENT,60000,Source Verified,8.7,1,16000,11539,0,debt_consolidation,20000,60,14.07,C,Mar-18
10,RENT,65000,Not Verified,15.05,1,101727,22442,0,debt_consolidation,3000,36,6.07,A,Feb-18
3,RENT,15000,Verified,28.96,0,31167,21577,0,credit_card,8000,36,9.93,B,Jan-18
10,OWN,52000,Source Verified,2.28,10,4100,1460,0,major_purchase,10000,36,11.99,B,Mar-18
2,RENT,44000,Verified,12.9,2,269361,46789,1,major_purchase,5000,36,6.71,A,Mar-18
NA,MORTGAGE,145000,Not Verified,16.57,2,506779,58807,0,debt_consolidation,15000,36,5.31,A,Feb-18
1,RENT,48000,Not Verified,18.03,1,51430,21017,0,debt_consolidation,10000,60,13.59,C,Feb-18
2,OWN,100000,Source Verified,10.92,3,30000,15946,1,home_improvement,40000,36,10.9,B,Feb-18
NA,RENT,35000,Source Verified,5.59,2,14200,3702,0,other,3000,36,12.62,C,Jan-18
0,RENT,33000,Not Verified,27.02,2,82620,77325,0,credit_card,1500,36,10.42,B,Jan-18
10,MORTGAGE,196000,Not Verified,24.38,4,264105,214317,0,credit_card,28000,36,15.05,C,Feb-18
7,RENT,76000,Not Verified,11.45,0,54900,18790,0,debt_consolidation,8000,36,6.71,A,Feb-18
5,RENT,49000,Source Verified,28.8,1,98338,90581,1,debt_consolidation,20000,60,21.45,D,Feb-18
0,MORTGAGE,275000,Source Verified,11.12,3,599264,147964,0,debt_consolidation,40000,36,9.44,B,Mar-18
4,MORTGAGE,80000,Verified,13.47,6,168890,40632,0,debt_consolidation,11000,36,11.99,B,Feb-18
3,RENT,35500,Not Verified,16.93,0,53495,42709,0,debt_consolidation,3300,36,11.99,B,Jan-18
NA,MORTGAGE,130000,Not Verified,14.43,1,440947,97118,0,medical,15000,36,6.07,A,Mar-18
NA,OWN,56000,Source Verified,16.08,0,45665,23724,0,debt_consolidation,11500,36,5.31,A,Feb-18
1,OWN,150000,Source Verified,33.23,2,566609,105380,0,credit_card,16500,36,6.07,A,Mar-18
10,RENT,80000,Source Verified,23.73,6,96240,83701,1,debt_consolidation,15000,60,19.42,D,Feb-18
10,RENT,105000,Verified,14.37,1,134300,83037,0,major_purchase,35000,60,21.85,D,Mar-18
10,MORTGAGE,72000,Verified,21.32,4,245282,37210,0,debt_consolidation,4400,36,14.08,C,Feb-18
10,MORTGAGE,96000,Verified,18.66,2,427091,39536,0,debt_consolidation,19000,60,18.06,D,Jan-18
1,OWN,35300,Source Verified,27.2,3,37273,30394,0,debt_consolidation,3125,36,10.91,B,Jan-18
10,MORTGAGE,73000,Not Verified,24.38,0,194873,57185,0,debt_consolidation,20000,60,9.44,B,Jan-18
10,OWN,50000,Verified,17.23,0,127498,16349,0,debt_consolidation,20000,60,12.62,C,Feb-18
3,OWN,70000,Not Verified,7.75,0,68800,19857,0,debt_consolidation,10000,60,9.44,B,Feb-18
7,MORTGAGE,350000,Verified,6.21,0,541617,81103,0,debt_consolidation,35000,36,6.08,A,Feb-18
10,RENT,65000,Not Verified,26.88,3,95285,37650,0,debt_consolidation,14000,36,11.98,B,Mar-18
3,OWN,85820,Not Verified,19.44,0,43400,35479,0,other,16000,36,9.92,B,Mar-18
